_id,url,price,brand,cpu,memory,weight,screen_size,screen_resolution,graphic_name,graphic_type,storage,battery,refresh_rate
654898025b123315f9ef041b,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-0X1K0,769.79,HP,Intel Core i5-1135G7,32GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898035b123315f9ef041c,https://www.newegg.com/p/1TS-000D-19BH5,749.79,,i5-1135G7,32GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,512 GB,,60 Hz
654898035b123315f9ef041d,https://www.newegg.com/silver-hp-15-everyday-value/p/1TS-000D-0T0X3,646.66,HP,Intel Core i5-1135G7,16GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,45 whrs,60 Hz
654898035b123315f9ef041e,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-0SDE5,587.99,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,45 whrs,60 Hz
654898035b123315f9ef041f,https://www.newegg.com/silver-hp-15-content-creation/p/1TS-000D-1AYK1,609.89,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1366 x 768,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898035b123315f9ef0420,https://www.newegg.com/silver-hp-15t/p/1TS-000D-0ME20,639.99,HP,Intel Core i5-1135G7,16GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898035b123315f9ef0421,https://www.newegg.com/p/1TS-000D-1CC48,2059.99,HP,,16GB,,16.0,3840x2400,Intel Arc A370M,Dedicated Card,1 TB,,60 Hz
654898035b123315f9ef0422,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-186K9,528.79,HP,Intel Core i3-1115G4,8GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel UHD Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898035b123315f9ef0423,https://www.newegg.com/silver-hp-15-content-creation/p/1TS-000D-1AYM0,569.79,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1366 x 768,Intel Iris Xe Graphics,Integrated Card,512 GB,45 whrs,60 Hz
654898035b123315f9ef0424,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-162N7,568.79,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,45 whrs,60 Hz
654898035b123315f9ef0425,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-0XCM1,548.11,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,256 GB,45 whrs,60 Hz
654898035b123315f9ef0426,https://www.newegg.com/p/1TS-000D-19BF3,699.79,,i5-1135G7,16GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,512 GB,,60 Hz
654898035b123315f9ef0427,https://www.newegg.com/p/1TS-000D-194Y2,539.79,,Intel Core i3 11th Gen,32GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,512 GB,,60 Hz
654898035b123315f9ef0428,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-162M2,652.19,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
