CPU brand modifier,CPU Speed (GHz),RAM (GB),Bus (MHz),Storage (GB),Screen Size (inch),Refresh Rate (Hz),Weight (kg),Battery,Price (VND),Manufacturer_acer,Manufacturer_asus,Manufacturer_dell,Manufacturer_hp,Manufacturer_lenovo,Manufacturer_lg,Manufacturer_msi,CPU_AMD Gen 4.0th,CPU_AMD Gen 5.0th,CPU_AMD Gen 6.0th,CPU_AMD Gen 7.0th,CPU_Intel Gen 11.0th,CPU_Intel Gen 12.0th,CPU_Intel Gen 13.0th,RAM Type_DDR4,RAM Type_DDR5,RAM Type_LPDDR4,RAM Type_LPDDR4X,RAM Type_LPDDR5,RAM Type_LPDDR5X,Screen Resolution_1080p,Screen Resolution_2k,Screen Resolution_3k,Screen Resolution_4k,Screen Resolution_720p,GPU manufacturer_AMD,GPU manufacturer_Intel,GPU manufacturer_NVIDIA,Screen Ratio_16:10,Screen Ratio_16:9,Screen Ratio_3:2
5.0,4.4,16.0,3200.0,512.0,14.0,60.0,1.41,43.0,17490000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.0,4.3,8.0,3200.0,256.0,14.0,60.0,1.47,41.0,10490000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7.0,4.6,16.0,3200.0,512.0,15.0,60.0,1.59,42.0,19490000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.0,4.6,16.0,3200.0,512.0,15.0,60.0,1.68,42.0,18490000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.0,4.6,16.0,3200.0,512.0,15.0,60.0,1.36,42.0,16990000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7.0,5.0,16.0,3200.0,512.0,15.0,60.0,1.68,42.0,21990000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.0,4.4,8.0,3200.0,256.0,15.0,60.0,1.69,42.0,13490000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7.0,4.6,16.0,3200.0,512.0,14.0,60.0,1.38,51.0,23990000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7.0,4.7,8.0,4800.0,512.0,16.0,144.0,2.4,51.0,20990000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7.0,4.7,16.0,3200.0,512.0,13.0,60.0,1.0,42.0,19790000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5.0,4.6,16.0,3200.0,512.0,14.0,60.0,1.38,51.0,20490000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7.0,4.4,16.0,3200.0,512.0,14.0,60.0,1.41,43.0,20590000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.0,4.6,8.0,3200.0,256.0,15.0,60.0,1.71,42.0,14690000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7.0,4.6,8.0,3200.0,512.0,14.0,60.0,1.41,43.0,19490000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.0,4.6,8.0,3200.0,512.0,15.0,60.0,1.69,42.0,16990000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.0,4.6,8.0,3200.0,512.0,15.0,60.0,1.72,42.0,16090000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7.0,4.6,8.0,3200.0,512.0,13.0,60.0,1.34,66.0,24990000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
