Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
hp,AMD,5,7,4.3,8,LPDDR5,5500,512,14,1920x1080,60,AMD,1.4,42,11990000
hp,Intel,3,11,4.1,8,DDR4,3200,256,15,1920x1080,60,Intel,1.7,41,9190000
hp,Intel,5,12,4.4,16,DDR4,3200,512,14,1920x1080,60,Intel,1.41,43,17490000
hp,Intel,3,11,4.1,8,DDR4,3200,256,15,1920x1080,60,Intel,1.7,41,9190000
hp,AMD,5,5,4.3,8,DDR4,3200,256,14,1920x1080,60,AMD,1.47,41,10490000
hp,Intel,7,13,,16,,,512,15,1920x1080,60,Intel,1.59,42,19490000
hp,Intel,5,13,4.6,16,DDR4,3200,512,15,1920x1080,,Intel,1.68,42,18490000
hp,Intel,5,13,,16,DDR4,,512,15,1920x1080,60,Intel,1.36,42,16990000
hp,Intel,7,13,5,16,DDR4,3200,512,15,1920x1080,,Intel,1.68,42,21990000
hp,Intel,5,12,4.4,8,DDR4,3200,256,15,1920x1080,60,Intel,1.69,42,13490000
hp,Intel,7,13,,16,,,512,14,1920x1080,60,Intel,1.38,51,23990000
hp,AMD,7,6,4.7,8,DDR5,4800,512,16,1920x1080,144,NVIDIA,2.4,,20990000
hp,AMD,7,7,4.7,16,DDR4,3200,512,13,1920x1200,,AMD,1,42,19790000
hp,Intel,5,13,,16,,,512,14,1920x1080,60,Intel,1.38,51,20490000
hp,Intel,7,12,4.4,16,DDR4,3200,512,14,1920x1080,60,Intel,1.41,43,20590000
hp,Intel,5,12,,8,DDR4,3200,256,15,1920x1080,60,Intel,1.71,42,14690000
hp,Intel,7,12,,8,,,512,14,1920x1080,60,Intel,1.41,43,19490000
hp,Intel,5,13,4.6,8,,3200,512,15,1920x1080,,Intel,1.69,42,16990000
hp,Intel,5,12,,8,DDR4,3200,512,15,1920x1080,60,Intel,1.72,42,16090000
hp,Intel,7,12,,8,,,512,13,2880x1800,60,Intel,1.34,66,24990000
hp,Intel,7,12,4.4,8,DDR4,3200,512,15,1920x1080,60,Intel,1.69,41,16690000
hp,AMD,5,6,4.5,8,DDR5,4800,512,16,1920x1080,144,NVIDIA,2.4,,17890000
hp,Intel,5,12,4.4,16,DDR4,3200,512,15,1920x1080,60,Intel,1.7,41,16490000
hp,Intel,5,12,4.4,8,DDR4,3200,256,14,1920x1080,60,Intel,1.41,42,14590000
