Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
asus,Intel,9,13900,5.0,16,DDR4,,512,15.0,1920 x 1080,60,Intel,1.0,,23490000
hp,AMD,5,7520,,8,,,256,14.0,1920 x 1080,60,AMD,1.0,3,10990000
hp,AMD,5,7520,4.0,16,LPDDR5,5500,512,14.0,1920 x 1080,60,AMD,1.0,3,13490000
hp,Intel,5,1235,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,43,15990000
hp,AMD,3,7320,4.0,8,LPDDR5,6400,256,14.0,1920 x 1080,60,,1.0,3,8990000
hp,AMD,5,7520,4.0,8,LPDDR5,5500,512,14.0,1920 x 1080,60,AMD,1.0,3,11990000
hp,Intel,3,1115,4.0,8,DDR4,3200,256,15.0,1920 x 1080,60,Intel,1.0,41,9190000
hp,Intel,5,1235,4.0,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,43,17490000
hp,Intel,3,1115,4.0,8,DDR4,3200,256,15.0,1920 x 1080,60,Intel,1.0,41,9190000
hp,AMD,5,5625,4.0,8,DDR4,3200,256,14.0,1920 x 1080,60,AMD,1.0,41,10490000
hp,Intel,7,1355,,16,,,512,15.0,1920 x 1080,60,,1.0,3,19490000
hp,Intel,5,1335,4.0,16,DDR4,3200,512,15.0,1920 x 1080,,,1.0,3,18490000
hp,Intel,5,1335,,16,DDR4,,512,15.0,1920 x 1080,60,Intel,1.0,3,16990000
hp,Intel,7,1335,5.0,16,DDR4,3200,512,15.0,1920 x 1080,,,1.0,3,21990000
hp,Intel,5,1235,4.0,8,DDR4,3200,256,15.0,1920 x 1080,60,,1.0,3,13490000
hp,Intel,7,1360,,16,,,512,14.0,1920 x 1080,60,Intel,1.0,51,23990000
hp,AMD,7,6800,4.0,8,DDR5,4800,512,16.0,1920 x 1080,144,NVIDIA,2.0,,20990000
hp,AMD,7,7735,4.0,16,DDR4,3200,512,13.0,1920 x 1200,,AMD,1.0,3,19790000
hp,Intel,5,1340,,16,,,512,14.0,1920 x 1080,60,,1.0,51,20490000
hp,Intel,7,1255,4.0,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,43,20590000
hp,Intel,5,1240,,8,DDR4,3200,256,15.0,1920 x 1080,60,Intel,1.0,3,14690000
hp,Intel,7,1255,,8,,,512,14.0,1920 x 1080,60,,1.0,43,19490000
hp,Intel,5,1335,4.0,8,,3200,512,15.0,1920 x 1080,,,1.0,3,16990000
hp,Intel,5,1240,,8,DDR4,3200,512,15.0,1920 x 1080,60,,1.0,3,16090000
hp,Intel,7,1250,,8,,,512,13.0,2880 x 1800,60,,1.0,66,24990000
hp,Intel,7,1255,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,,1.0,41,16690000
hp,AMD,5,6600,4.0,8,DDR5,4800,512,16.0,1920 x 1080,144,NVIDIA,2.0,,17890000
hp,Intel,5,1235,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,41,16490000
hp,Intel,5,1235,4.0,8,DDR4,3200,256,14.0,1920 x 1080,60,Intel,1.0,3,14590000
hp,Intel,3,1115,4.0,8,,,256,14.0,1920 x 1080,,Intel,1.0,3,9190000
hp,Intel,7,1355,,16,,,512,14.0,1920 x 1080,60,,1.0,51,25590000
lenovo,AMD,5,5500,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,42,10290000
hp,AMD,5,7640,,16,,,512,16.0,1920 x 1080,60,NVIDIA,2.0,4,24490000
hp,Intel,5,1235,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,3,16490000
lenovo,Intel,5,1155,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,,13490000
lenovo,Intel,5,12450,4.0,16,DDR5,4800,512,14.0,1920 x 1080,60,Intel,1.0,,13990000
lenovo,Intel,5,12500,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,38,12690000
lenovo,Intel,5,13500,4.0,16,DDR5,5200,512,14.0,1920 x 1200,60,Intel,1.0,3,17290000
lenovo,Intel,7,13700,5.0,16,DDR5,5200,512,14.0,1920 x 1200,60,Intel,1.0,65,24990000
lenovo,Intel,5,1155,4.0,8,DDR4,3200,256,15.0,1920 x 1080,,Intel,1.0,,10190000
lenovo,Intel,5,1145,4.0,16,DDR4,4266,512,14.0,1920 x 1200,60,Intel,1.0,57,22490000
lenovo,Intel,5,12450,4.0,16,DDR5,4800,512,16.0,1920 x 1200,60,Intel,1.0,3,15990000
lenovo,Intel,5,1235,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,2,10990000
lenovo,Intel,7,1255,4.0,16,DDR4,3200,512,15.0,1920 x 1080,,Intel,1.0,,15990000
lenovo,AMD,5,7535,4.0,8,DDR5,4800,512,15.0,1920 x 1080,120,NVIDIA,2.0,4,19990000
lenovo,AMD,7,7730,4.0,16,DDR4,3200,512,14.0,1920 x 1080,,AMD,1.0,,16590000
lenovo,AMD,5,7520,4.0,8,LPDDR5,5500,512,15.0,1920 x 1080,60,AMD,1.0,42,9490000
lenovo,AMD,5,6600,4.0,16,DDR5,4800,512,15.0,1920 x 1080,120,AMD,2.0,60,18490000
lenovo,Intel,5,1335,4.0,16,DDR4,3200,512,14.0,1920 x 1200,60,Intel,1.0,47,21390000
